         8472894 function calls (8457698 primitive calls) in 465.529 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1663    0.033    0.000  271.506    0.163 Teamcity.py:155(getArtifactsSizeById)
      742    0.013    0.000   80.744    0.109 Teamcity.py:174(getLastBuildsByDate)
      742    0.008    0.000   83.951    0.113 Teamcity.py:190(getLastBuildsByCount)
      371    0.028    0.000  164.726    0.444 Teamcity.py:202(getListOfBuildsByCountAndDate)
      178    0.002    0.000   11.882    0.067 Teamcity.py:228(getBuildsDirectlyFromProject)
      178    0.001    0.000   11.442    0.064 Teamcity.py:285(getSubprojectsFromProject)
       88    0.001    0.000    5.477    0.062 Teamcity.py:303(getParentProject)
     4198    0.011    0.000  462.466    0.110 Teamcity.py:38(_send_request)
     4198    0.026    0.000    1.036    0.000 Teamcity.py:48(_prep_request)
      742    0.006    0.000    0.007    0.000 Teamcity.py:59(getTCDateFromDate)
        1    0.000    0.000    0.000    0.000 Teamcity.py:6(Teamcity)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:78(_Feature)
        9    0.000    0.000    0.000    0.000 __future__.py:79(__init__)
       10    0.000    0.000    0.090    0.009 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1008(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1077(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1083(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1101(PlaceHolder)
        3    0.000    0.000    0.000    0.000 __init__.py:1107(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:1113(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1143(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1148(__init__)
     3938    0.015    0.000    0.027    0.000 __init__.py:1159(getLogger)
       10    0.000    0.000    0.000    0.000 __init__.py:1210(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1234(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1251(Logger)
       11    0.000    0.000    0.000    0.000 __init__.py:1266(__init__)
